code,description
ACCESS_DENIED,アクセス権限がありません。
ALREADY_ADDED,
ALREADY_BLOCKING,すでにブロックしています。
ALREADY_CLIPPED,
ALREADY_EXPIRED,
ALREADY_FAVORITED,既にお気に入り登録されています。
ALREADY_FOLLOWING,すでにフォローしています。
ALREADY_INVITED,
ALREADY_LIKED,すでにいいねをつけています。
ALREADY_MUTING,すでにそのユーザーをミュートしています。
ALREADY_PINNED,指定されたノートは既にピン留めされています。
ALREADY_PROMOTED,
ALREADY_REACTED,既にリアクションしています。
ALREADY_VOTED,
AVATAR_NOT_AN_IMAGE,アバター画像に、画像ではないファイルが指定されました。
BANNER_NOT_AN_IMAGE,バナー画像に、画像ではないファイルが指定されました。
BLOCKED,ユーザーにブロックされています。
BLOCKEE_IS_YOURSELF,自分のブロックを解除しようとしました。
BLOCKING,ユーザーをブロックしています。
CANNOT_CREATE_ALREADY_EXPIRED_POLL,アンケートの期限の指定が誤っています。
CANNOT_RENOTE_TO_A_PURE_RENOTE,単純なRenoteを再度Renoteすることはできません。
CANNOT_REPLY_TO_A_PURE_RENOTE,単純なRenoteに返信することはできません。
CANNOT_REPORT_THE_ADMIN,管理者を通報しようとしました。
CANNOT_REPORT_YOURSELF,自身を通報しようとしました。
CONTENT_REQUIRED,
CREDENTIAL_REQUIRED,クレデンシャル必須のエンドポイントにクレデンシャル無しでリクエストされました。
FAILED_TO_RESOLVE_REMOTE_USER,リモートユーザーの検索に失敗しました。
FOLLOWEE_IS_YOURSELF,自分のフォローを解除しようとしました。
FOLLOWER_IS_YOURSELF,自分をフォロワー解除しようとしました。
FOLLOW_REQUEST_NOT_FOUND,フォローリクエストがありません。
FORBIDDEN,
GROUP_ACCESS_DENIED,
GTL_DISABLED,グローバルタイムラインが無効になっています。
HAS_CHILD_FILES_OR_FOLDERS,フォルダーが空ではありません。
INAPPROPRIATE,不適切なコンテンツを含んでいる可能性があると判定されました。
INTERNAL_ERROR,サーバー内部で問題が発生しました。引き続き問題が発生する場合は管理者にお問い合わせください。
INVALID_CHOICE,
INVALID_FILE_NAME,ファイル名が不正です。
INVALID_PARAM,リクエストパラメータに誤りがあります。
INVALID_REGEXP,正規表現が不正です。
INVALID_URL,
IS_OWNER,
LTL_DISABLED,ローカルタイムラインが無効になっています。
MO_SUCH_FILE,
MUTEE_IS_YOURSELF,自分に対してミュートを解除しようとしました。
NAME_ALREADY_EXISTS,同じURLにページがすでに存在します。
NOT_BLOCKING,ブロックしていないユーザーです。
NOT_FAVORITED,お気に入り登録されていません。
NOT_FOLLOWING,ユーザーにフォローされていません。
NOT_LIKED,いいねをつけていないページです。
NOT_MUTING,対象となるユーザーをそもそもミュートしていません。
NOT_REACTED,リアクションしていません。
NO_FOLLOW_REQUEST,ユーザーからのフォローリクエストがありません。
NO_FREE_SPACE,ドライブに空き容量がありません。
NO_POLL,
NO_SUCH_AD,
NO_SUCH_ANNOUNCEMENT,お知らせが存在しません。
NO_SUCH_ANTENNA,
NO_SUCH_APP,アプリが存在しません。
NO_SUCH_AVATAR,アバター画像のファイルが存在しません。
NO_SUCH_BANNER,バナー画像のファイルが存在しません。
NO_SUCH_CHANNEL,指定されたチャンネルが存在しないか、アクセスが許可されていません。
NO_SUCH_CLIP,
NO_SUCH_EMOJI,
NO_SUCH_FILE,ファイルが存在しません。
NO_SUCH_FOLDER,フォルダーが存在しません。
NO_SUCH_GROUP,
NO_SUCH_GROUP_MEMBER,
NO_SUCH_HASHTAG,ハッシュタグが存在しません。
NO_SUCH_INVITATION,
NO_SUCH_LIST,
NO_SUCH_MESSAGE,
NO_SUCH_NOTE,指定されたノートが存在しないか、アクセスが許可されていません。
NO_SUCH_NOTIFICATION,通知が存在しません。
NO_SUCH_OBJECT,
NO_SUCH_PAGE,ページが存在しません。
NO_SUCH_PARENT_FOLDER,親フォルダーが存在しません。
NO_SUCH_POST,
NO_SUCH_RENOTE_TARGET,Renoteに指定されたノートが存在しないか、アクセスが許可されていません。
NO_SUCH_REPLY_TARGET,返信先に指定されたノートが存在しないか、アクセスが許可されていません。
NO_SUCH_SESSION,セッションが存在しません。
NO_SUCH_USER,ユーザーが存在しません。
NO_SUCH_USER_GROUP,
NO_SUCH_USER_LIST,
NO_SUCH_WEBHOOK,Webhookが存在しません。
PENDING_SESSION,
PERMISSION_DENIED,与えられたクレデンシャルには必要なパーミッションがありません。
PIN_LIMIT_EXCEEDED,これ以上ピン留めできません。
RATE_LIMIT_EXCEEDED,レートリミットによる制限のため一時的に利用できません。
REACTIONS_NOT_PUBLIC,リアクションが公開されていません。
RECIPIENT_IS_YOURSELF,
STL_DISABLED,ソーシャルタイムラインが無効になっています。
YOUR_ACCOUNT_SUSPENDED,アカウントが凍結されているため利用できません。
YOUR_PAGE,自身のページにいいねをつけようとしました。
YOUR_POST,
YOU_ARE_OWNER,
YOU_HAVE_BEEN_BLOCKED,ブロックされているユーザーのノートにリアクションは行えません。
